Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
FuselageGeom0,177.206379,173.237855,146.064907,146.064907
CanardGeom0,167.900632,138.960023,17.914872,15.237931
MotorGeom0,9.380193,8.753887,1.465376,1.405442
MotorGeom1,9.380193,8.753887,1.465376,1.405442
MotorGeom0,9.380193,7.916220,1.465376,1.270954
MotorGeom1,9.380193,7.916220,1.465376,1.270954
FlapGeom0,9.426893,4.783154,0.455221,0.237379
FlapGeom0,9.426893,4.693571,0.455221,0.232934
WingGeom0,185.029287,160.873557,22.835288,20.404476
MotorGeom0,9.380193,8.747081,1.465376,1.404350
MotorGeom1,9.380193,8.747081,1.465376,1.404350
MotorGeom0,9.380193,7.684330,1.465376,1.233724
MotorGeom1,9.380193,7.684330,1.465376,1.233724
MeshGeom0,9.426893,4.111563,0.455221,0.204049
MeshGeom0,9.426893,3.949891,0.455221,0.196026
Totals,642.885415,556.812651,200.358962,193.207488

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
FuselageGeom0,177.206379,173.237855
CanardGeom0,83.950316,69.448043
CanardGeom1,83.950316,69.511980
Disk0,0.000000,0.000000
Disk0,0.000000,0.000000
MotorGeom0,9.380193,8.753887
MotorGeom1,9.380193,8.753887
MotorGeom0,9.380193,7.916220
MotorGeom1,9.380193,7.916220
Disk0,0.000000,0.000000
Disk0,0.000000,0.000000
FlapGeom0,9.426893,4.783154
FlapGeom0,9.426893,4.693571
WingGeom0,82.794031,70.716166
WingGeom1,82.794031,70.716166
Disk0,0.000000,0.000000
Disk0,0.000000,0.000000
MotorGeom0,9.380193,8.747081
MotorGeom1,9.380193,8.747081
MotorGeom0,9.380193,7.684330
MotorGeom1,9.380193,7.684330
Disk0,0.000000,0.000000
Disk0,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom1,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom1,0.000000,0.000000
MeshGeom0,9.426893,4.111563
MeshGeom0,9.426893,3.949891
MeshGeom0,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom1,0.000000,0.000000
MeshGeom0,0.000000,0.000000
MeshGeom1,0.000000,0.000000
WingGeom0,WingAilerons,9.720613,9.720613
WingGeom1,WingAilerons,9.720613,9.720613
