WARNING: 30 open meshes removed
WARNING: 2 open meshes merged
...Slice...
7 Num Comps
11 Total Num Meshes
8864 Total Num Tris
1.00000 0.00000 0.00000 Axis Vector

    Loc    XCenter  YCenter  ZCenter         Area
   -0.900     0.000     0.000     0.000     0.000
    0.011     0.011    -0.000    -1.300     1.291
    0.921     0.921    -0.000    -1.007     8.081
    1.832     1.832    -0.000    -0.998    17.882
    2.743     2.743    -0.001    -0.806    17.638
    3.654     3.654    -0.000    -0.422    13.781
    4.564     4.564     0.000    -0.130    12.689
    5.475     5.475     0.000    -0.051    13.211
    6.386     6.386     0.000    -0.013    13.545
    7.297     7.297     0.000    -0.001    13.729
    8.207     8.207     0.000     0.000    13.787
    9.118     9.118     0.000     0.061    13.053
   10.029    10.029     0.000     0.190    11.575
   10.940    10.940     0.000     0.506    11.039
   11.850    11.850     0.000     0.769     9.940
   12.761    12.761     0.000     1.448    17.898
   13.672    13.672    -0.000     1.558    14.559
   14.583    14.583     0.000     1.579     7.212
   15.493    15.493    -0.000     1.547     1.359
   16.404     0.000     0.000     0.000     0.000
