Name	Theo_Area	Wet_Area	Theo_Vol	Wet_Vol	Min_Chord	Ave_Chord	Max_Chord	Min_TC_Ratio	Avg_TC_Ratio	Max_TC_Ratio	Ave_Sweep	Length	Max_Xsec_Area	Len_Dia_Ratio
FuselageGeom0	176.815217	172.794885	144.977912	144.742445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	16.404000	27.900090	2.752275
CanardGeom0	184.978102	156.806988	22.775134	19.723721	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	8.748767	1.465376	1.396262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	8.748767	1.465376	1.396262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	7.688812	1.465376	1.227099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	7.688812	1.465376	1.227099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
WingGeom0	184.978102	161.144472	22.775134	20.269305	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MotorGeom0	9.380193	8.748767	1.465376	1.396262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	8.748767	1.465376	1.396262	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom0	9.380193	7.688812	1.465376	1.227099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
MotorGeom1	9.380193	7.688812	1.465376	1.227099	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	5.000000	0.769747	5.050576
