WARNING: 8 open meshes remove
WARNING: 13 open meshes remove
...Mass Properties...
22 Num Comps
22 Total Num Meshes
45180 Total Num Tris

213.025532             Total Mass
7.528147 0.013416 0.127190       Center of Gravity
6268.466021 4387.532814 9878.026060       Ixx, Iyy, Izz
-21.909477 788.883723 -4.154243       Ixy, Ixz, Iyz
213.025532             Volume

Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
FuselageGeom	146.086393	7.462483	-0.000039	0.084679	317.496926	2091.015920	1958.385107	0.032083	216.932185	-0.073111	146.086393
CanardGeom	20.839206	2.132843	-0.000504	-1.302709	1566.346531	11.116217	1577.007931	-0.008847	-0.582931	0.033879	20.839206
MotorGeom	1.245766	1.518825	15.026477	-1.293460	0.080085	1.883178	1.875860	0.019695	-0.092223	-0.001052	1.245766
MotorGeom	1.246153	1.519311	-15.026404	-1.293517	0.080260	1.884144	1.876978	-0.019546	-0.092334	0.001138	1.246153
MotorGeom	0.935204	1.318660	5.500359	-1.298618	0.065605	1.571551	1.557293	0.000277	-0.087503	0.000076	0.935204
MotorGeom	0.935220	1.318715	-5.500299	-1.298625	0.065710	1.571681	1.557534	-0.000249	-0.087529	0.000038	0.935220
WingGeom	21.314926	13.240312	0.000215	1.798252	1565.066414	11.421238	1576.021532	-0.007721	-0.601173	0.023879	21.314926
MotorGeom	1.223412	12.603876	15.025635	1.804975	0.078937	1.868187	1.861123	0.017717	-0.092539	-0.000635	1.223412
MotorGeom	1.229275	12.610023	-15.026068	1.804516	0.079155	1.879286	1.872260	-0.018518	-0.093428	0.000820	1.229275
MotorGeom	0.937535	12.411192	5.500403	1.802479	0.065993	1.564822	1.550773	0.000389	-0.087827	0.000088	0.937535
MotorGeom	0.937535	12.411192	-5.500403	1.802479	0.065957	1.564822	1.550737	-0.000495	-0.087844	-0.000022	0.937535
MeshGeom	0.139328	1.805768	0.486416	-0.638001	0.538094	0.386699	0.365297	0.049435	0.120393	0.104772	0.139328
MeshGeom	6.717514	2.520159	0.393195	-1.491139	556.792363	6.537106	562.957920	-8.764343	-0.714672	-0.128170	6.717514
MeshGeom	0.342543	1.492401	15.016350	-1.260700	0.069664	0.838185	0.789112	0.006514	-0.199805	-0.001639	0.342543
MeshGeom	0.341504	1.490337	-15.016917	-1.259744	0.069428	0.836673	0.787679	-0.006639	-0.199403	0.001700	0.341504
MeshGeom	0.305081	1.394161	5.501525	-1.234039	0.063361	0.770337	0.722934	-0.000538	-0.185016	0.000110	0.305081
MeshGeom	0.306670	1.395343	-5.500639	-1.234457	0.063656	0.771134	0.723721	-0.000502	-0.185390	0.000145	0.306670
MeshGeom	6.642874	13.704472	0.042184	1.611884	523.614143	4.726417	527.960050	-0.628488	-0.780299	-0.042925	6.642874
MeshGeom	0.338743	12.586998	15.017790	1.841623	0.069133	0.822966	0.774292	0.007084	-0.197393	-0.001871	0.338743
MeshGeom	0.340507	12.592373	-15.016316	1.839661	0.069547	0.825495	0.776696	-0.006565	-0.198143	0.001678	0.340507
MeshGeom	0.309500	12.523820	5.500168	1.860701	0.064111	0.782041	0.734103	0.000675	-0.187819	-0.000188	0.309500
MeshGeom	0.310639	12.534638	-5.499986	1.858000	0.064414	0.784818	0.736559	-0.000290	-0.188749	0.000114	0.310639
Name	Mass	cgX	cgY	cgZ	Ixx	Iyy	Izz	Ixy	Ixz	Iyz	Volume
Totals	213.025532	7.528147	0.013416	0.127190	6268.466021	4387.532814	9878.026060	-21.909477	788.883723	-4.154243	213.025532
