"BatteryMass","canard_mass","CfgID","ConstraintsTest","CostPerFlight","CruiseSpeed","ENominal","EReserve","fuselage_mass","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","payload_mass","prop_mass","Range","RotorRadius","tNominal","toolCostPerVehicle","tReserve","Vehicle","wing_mass","wire_mass"
346.690506314,200,"TestConstraints",0,211.933595653,37.1151405532,915.241049647,1551.01853338,500,"8a2427ce-3702-44f7-b921-09b2609519dd",2,2,1020,1020,7344.76923924,15.4732090696,550,50,56094.1421697,2.39482704091,1691.35470144,2000,2891.35470144,1,200,30
703.219046033,200,"TestConstraints",0,1275.81230024,54.4180431423,8036.21129136,11125.1882312,500,"53d87b12-8e0d-43da-be01-f7b0589e93f6",2,2,1020,1020,3420.25846349,466.74272751,550,50,114826.449524,6.36573789338,2290.08046034,2000,3490.08046034,1,200,30
669.349053916,200,"TestConstraints",0,865.765289762,75.6524755147,4941.36975825,6595.77973793,500,"8a9eafb0-0feb-41b6-a837-ac6a3788e35e",2,2,1020,1020,881.53286682,580.948393149,550,50,185184.728476,5.71837679614,2627.83435329,2000,3827.83435329,1,200,30
848.640144539,200,"TestConstraints",0,551.426970408,57.5643101277,3007.02687795,4548.52481421,500,"7a3bfa09-ddea-4a88-927e-345619aec436",2,2,1020,1020,2704.40804508,70.7997782833,550,50,86985.3632224,4.62308930205,1691.09885673,2000,2891.09885673,1,200,30
203.728691501,200,"TestConstraints",0,2373.38003323,55.766789623,16074.3870122,20037.8353453,500,"a7ffdf3a-609a-49c5-9156-3b43bd8359e3",2,2,1020,1020,7576.63998462,184.75156359,550,50,178305.737379,7.29046691006,3377.34628055,2000,4577.34628055,1,200,30
392.81173206,200,"TestConstraints",0,1287.96215705,39.880845617,8531.45920731,13082.5137653,500,"0eeb98ad-4409-4636-a8a3-b99515507894",2,2,1020,1020,2169.85069529,172.293575941,550,50,74147.3815598,6.82080368946,2039.22290294,2000,3239.22290294,1,200,30
415.026501545,200,"TestConstraints",0,644.964053994,38.8948496896,3173.77828053,4006.18967598,500,"137ae6d7-aced-40fa-83f2-c9182e4a03c5",2,2,1020,1020,5563.81765533,745.549985571,550,50,150834.696141,2.84668780929,4058.0120593,2000,5258.0120593,1,200,30
239.982523012,200,"TestConstraints",0,7419.01353369,33.4074648629,51408.4426897,61928.6522849,500,"b2e4ec48-6677-4e54-91c0-8b62d9d2c557",2,2,1020,1020,7166.8914178,928.980087845,550,50,172588.620983,9.83638486138,5346.16934842,2000,6546.16934842,1,200,30
147.337718434,200,"TestConstraints",0,578.937623147,33.7601464606,2628.7040017,3179.48070977,500,"b679c2ee-3d57-463c-9e2a-200bea3395f7",2,2,1020,1020,9088.10245461,530.684384528,550,50,177949.768715,2.0939804059,5451.00108771,2000,6651.00108771,1,200,30
271.951428022,200,"TestConstraints",0,406.218632431,39.1021331604,42.6241856862,69.6432776054,500,"f8eafd80-bc1a-44b4-903c-d9d5a2fd7475",2,2,1020,1020,1989.59009312,856.724118594,550,50,97537.0679253,3.87748949422,2674.41808009,2000,3874.41808009,0,200,30
