BatteryMass,canard_mass,CfgID,ConstraintsTest,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
550.332747131,200.0,TestConstraints,0.0,1680.56190487,67.9878176369,11190.7139158,16430.1732586,500.0,e1d130e2-ec32-4301-9ada-4718d219f7e6,2.0,2.0,1020.0,1020.0,8959.99353407,257.697711056,550.0,50.0,89796.2762456,9.40984314653,1500.77009333,2000.0,2700.77009333,1.0,200.0,30.0
232.389958669,200.0,TestConstraints,1.0,1287.29892347,38.0451432315,129.356995708,245.860459704,500.0,545d760b-2fd8-4d87-b872-e087848b8635,2.0,2.0,1020.0,1020.0,487.608634599,192.769420419,550.0,50.0,92840.7276921,9.10256708759,2620.27804357,2000.0,3820.27804357,0.0,200.0,30.0
705.102755424,200.0,TestConstraints,0.0,116.306635393,39.4677666998,209.775325754,917.576138294,500.0,61ea3e6c-7950-44ff-bb26-8ac430c253c8,2.0,2.0,1020.0,1020.0,5594.07552748,133.323585676,550.0,50.0,13027.9845408,3.51907913508,510.091759179,2000.0,1710.09175918,1.0,200.0,30.0
460.740603058,200.0,TestConstraints,0.0,640.009184982,41.291063188,72.5686533405,120.318212375,500.0,e71a6091-19b8-460a-b3bc-0d6db3a257b0,2.0,2.0,1020.0,1020.0,7015.49636003,15.4992736245,550.0,50.0,111908.503102,5.41675342487,2890.23544713,2000.0,4090.23544713,0.0,200.0,30.0
578.91104256,200.0,TestConstraints,0.0,191.747539518,30.3160264578,51.285435873,80.6861115378,500.0,3180f9d3-1692-4d4c-a5d7-90101d624e7d,2.0,2.0,1020.0,1020.0,6702.36985234,887.305497125,550.0,50.0,61011.5052062,0.515465091602,2192.51655758,2000.0,3392.51655758,0.0,200.0,30.0
516.59822087,200.0,TestConstraints,0.0,131.465635765,43.0126855708,21.6014235448,38.0964020611,500.0,1118470d-815e-4b33-a99c-32b950392b89,2.0,2.0,1020.0,1020.0,6700.99842512,817.766641512,550.0,50.0,42053.0525636,1.24193480952,1157.6895352,2000.0,2357.6895352,0.0,200.0,30.0
421.286549536,200.0,TestConstraints,0.0,251.981059713,75.9662213514,557.941550952,838.821164916,500.0,95b427e5-d4db-4989-bf60-0256a3fa0e7b,2.0,2.0,1020.0,1020.0,1505.6918146,27.8392164063,550.0,50.0,116880.044898,9.57478314044,1718.57915819,2000.0,2918.57915819,1.0,200.0,30.0
314.822237005,200.0,TestConstraints,0.0,195.020707509,46.4358331492,375.253221286,602.051129428,500.0,182612cd-dc6d-41bd-b679-11c0a9923758,2.0,2.0,1020.0,1020.0,8762.34931905,143.809645937,550.0,50.0,81386.6816331,6.59243655705,1932.66978352,2000.0,3132.66978352,1.0,200.0,30.0
968.796232505,200.0,TestConstraints,0.0,246.69048542,66.7569010964,255.033130551,401.923522477,500.0,fcf4c371-15b4-4b06-9892-8978fa3284d3,2.0,2.0,1020.0,1020.0,433.76994221,175.821609937,550.0,50.0,135777.944651,6.52797819429,2213.9162307,2000.0,3413.9162307,1.0,200.0,30.0
865.112255731,200.0,TestConstraints,0.0,134.025525627,58.6121452837,105.226550261,279.634147602,500.0,a0f9495a-9554-43db-b353-2edfb6c99744,2.0,2.0,1020.0,1020.0,5446.28133235,104.786774624,550.0,50.0,28950.471598,6.40188772433,673.932980235,2000.0,1873.93298023,1.0,200.0,30.0
389.249290971,200.0,TestConstraints,0.0,270.423340145,68.6231385748,560.15013975,779.029550581,500.0,26b56686-3325-4461-955a-fa0acbf40987,2.0,2.0,1020.0,1020.0,6354.2296191,694.248369896,550.0,50.0,126899.392587,7.83330817188,2029.22163606,2000.0,3229.22163606,1.0,200.0,30.0
639.938212942,200.0,TestConstraints,0.0,156.26182925,50.7454395783,109.018661403,166.481860435,500.0,e2c5fc58-53f2-4b0f-a281-bf33c0d4e4ed,2.0,2.0,1020.0,1020.0,5229.24120096,360.808601771,550.0,50.0,90252.9310937,3.15600830392,1958.54269948,2000.0,3158.54269948,1.0,200.0,30.0
897.333086375,200.0,TestConstraints,0.0,468.546492766,49.3281618846,73.9670589687,103.585123494,500.0,ab3e7097-7dbb-49e0-8d36-ed40c6196e97,2.0,2.0,1020.0,1020.0,5895.44712746,5.77899167031,550.0,50.0,128810.533514,3.96577248965,2791.29806164,2000.0,3991.29806164,0.0,200.0,30.0
708.120986206,200.0,TestConstraints,0.0,158.974260045,66.4843208986,124.118051895,188.511322546,500.0,3f37bd3f-d323-4329-b443-c89705207053,2.0,2.0,1020.0,1020.0,7858.25597749,671.693541235,550.0,50.0,85235.9491745,3.42678098556,1462.04587221,2000.0,2662.04587221,1.0,200.0,30.0
808.176150593,200.0,TestConstraints,0.0,167.208277981,43.6673234834,101.151192851,175.759779877,500.0,bed8ded9-202a-4a72-9812-f994a134b005,2.0,2.0,1020.0,1020.0,8749.29529716,605.473093146,550.0,50.0,60348.7337935,2.88857787476,1562.01128394,2000.0,2762.01128394,1.0,200.0,30.0
154.417989265,200.0,TestConstraints,0.0,164.888463483,75.3194720587,374.691753468,683.549023359,500.0,2727c9cc-96c9-4e7e-921c-15ac961dca2f,2.0,2.0,1020.0,1020.0,1528.51493931,488.176975445,550.0,50.0,70273.6442262,9.52955353887,1113.00765799,2000.0,2313.00765799,1.0,200.0,30.0
386.571140984,200.0,TestConstraints,0.0,394.411220686,40.595228041,867.915434874,1102.59828916,500.0,1fc3d787-7a25-4563-86ff-b28504eb69ff,2.0,2.0,1020.0,1020.0,9438.86153183,108.059113963,550.0,50.0,173707.561597,6.09918784567,4459.01430733,2000.0,5659.01430733,1.0,200.0,30.0
924.573039262,200.0,TestConstraints,0.0,214.891989068,70.3950348527,212.164319533,256.226026605,500.0,1bd4ed3f-c571-4a4a-be66-021f58c8fd1e,2.0,2.0,1020.0,1020.0,4372.03910329,368.891695683,550.0,50.0,176068.109259,1.03725249829,2681.14386089,2000.0,3881.14386089,1.0,200.0,30.0
349.892278282,200.0,TestConstraints,0.0,254.268338177,65.032026845,621.499427694,915.548363794,500.0,fbd99bad-0557-4350-b093-ad60df0df647,2.0,2.0,1020.0,1020.0,3038.94118746,285.914955,550.0,50.0,110232.633785,8.46716499625,1875.05148668,2000.0,3075.05148668,1.0,200.0,30.0
732.081183179,200.0,TestConstraints,0.0,244.372987092,52.0557369163,663.577394757,979.590759991,500.0,0d47ba95-8aef-44fb-9972-d3439bd5d773,2.0,2.0,1020.0,1020.0,8641.0409942,899.214291009,550.0,50.0,81734.7218428,0.474539916543,1750.13859921,2000.0,2950.13859921,1.0,200.0,30.0
323.211610646,200.0,TestConstraints,0.0,172.048577519,60.3015172104,402.798030941,804.845676897,500.0,765f4012-2342-4c31-92b5-cf170f00cfe1,2.0,2.0,1020.0,1020.0,2455.11859404,56.9937806338,550.0,50.0,52492.1493822,9.53626761564,1050.49467096,2000.0,2250.49467096,1.0,200.0,30.0
204.81106995,200.0,TestConstraints,0.0,291.840589185,51.3141041293,570.663023288,730.887219542,500.0,d00c0a4f-bc6f-42a9-86f7-4a82096a393a,2.0,2.0,1020.0,1020.0,3740.55009634,630.49835629,550.0,50.0,181098.226551,5.53196958441,3709.20955406,2000.0,4909.20955406,1.0,200.0,30.0
