BatteryMass,canard_mass,CfgID,CostPerFlight,CruiseSpeed,ENominal,EReserve,fuselage_mass,GUID,hops,hops,loiterTime,loiterTime,MaxTakeoffMass,MotorMass,payload_mass,prop_mass,Range,RotorRadius,tNominal,toolCostPerVehicle,tReserve,Vehicle,wing_mass,wire_mass
427.720638323,1000.0,TestOperatingCost,1784.78821203,33.3973497367,100.508633655,184.454116557,1000.0,2cd8831c-4cb7-4511-8842-526c0f31644d,2.0,2.0,1020.0,1020.0,2309.57273473,902.803358326,550.0,50.0,138682.978381,7.61481201248,4332.51448018,2000.0,5532.51448018,0.0,1000.0,250.0
180.048580376,1000.0,TestOperatingCost,467.447368107,61.3506616193,1652.48559293,2100.68822216,1000.0,d196c7b3-de2e-4d23-b2e5-70cd2902f7c5,2.0,2.0,1020.0,1020.0,8036.94489856,302.624246106,550.0,50.0,191000.380059,6.88282421641,3293.25705409,2000.0,4493.25705409,1.0,1000.0,250.0
239.405390463,1000.0,TestOperatingCost,652.15208696,31.7643767274,2646.23683571,3851.77809926,1000.0,ce688281-1555-436f-9e27-7fa0573f23d2,2.0,2.0,1020.0,1020.0,4998.65358414,719.583760947,550.0,50.0,85886.1836452,9.03191543512,2883.85231803,2000.0,4083.85231803,1.0,1000.0,250.0
677.65983964,1000.0,TestOperatingCost,500.146159481,33.8792548681,943.620932771,1097.50150739,1000.0,ae5a7ade-b9be-46fb-a8c9-c5a7769fb6a8,2.0,2.0,1020.0,1020.0,7929.00289662,707.493081676,550.0,50.0,193272.007605,0.817590523263,5884.73017654,2000.0,7084.73017654,1.0,1000.0,250.0
907.686742343,1000.0,TestOperatingCost,528.253035913,49.4861336772,1640.28147987,2239.90072741,1000.0,acfc1cac-4954-4863-8596-ea3659375a5d,2.0,2.0,1020.0,1020.0,9561.89006055,21.5659282459,550.0,50.0,138544.017844,7.23892750403,2979.65330789,2000.0,4179.65330789,1.0,1000.0,250.0
580.624133681,1000.0,TestOperatingCost,430.962154837,60.4364643195,82.0447918367,127.566172595,1000.0,f1a7e082-f6fc-438b-b996-f2a1292ea3c4,2.0,2.0,1020.0,1020.0,2601.89912339,632.398266012,550.0,50.0,78084.3375245,5.37576937395,1472.0070425,2000.0,2672.0070425,0.0,1000.0,250.0
581.877797461,1000.0,TestOperatingCost,302.062812281,68.6537749146,656.267848224,826.717441359,1000.0,87f1ad6f-fa3b-4b3a-a4bc-d4ec2ad8adc1,2.0,2.0,1020.0,1020.0,2244.46800749,277.546116973,550.0,50.0,198481.364733,4.75510284054,3071.04808847,2000.0,4271.04808847,1.0,1000.0,250.0
322.729464099,1000.0,TestOperatingCost,261.539493311,57.2835180939,561.188497787,793.159450899,1000.0,1745e629-db0e-4c10-96df-17d442db9492,2.0,2.0,1020.0,1020.0,6478.92721673,839.885687541,550.0,50.0,123768.147292,4.99469810037,2340.6240575,2000.0,3540.6240575,1.0,1000.0,250.0
656.77717178,1000.0,TestOperatingCost,791.206685397,60.0581671135,2817.54091299,3609.55741382,1000.0,8a4b1325-7f26-4a5e-93e8-4f78087e11b4,2.0,2.0,1020.0,1020.0,4964.08839574,835.019089146,550.0,50.0,186884.900391,9.59810125121,3291.73166569,2000.0,4491.73166569,1.0,1000.0,250.0
361.252262457,1000.0,TestOperatingCost,118.726145249,60.7442312951,26.3948631275,40.8377623552,1000.0,aa16e454-cfe5-4895-9d96-d94b9c55b7d0,2.0,2.0,1020.0,1020.0,4075.75938159,135.951780137,550.0,50.0,33371.9709692,2.0771897899,729.385024021,2000.0,1929.38502402,0.0,1000.0,250.0
