"alum_rho","alum_stress","BatteryMass","bid_bearing","bid_minThk","bid_rho","bid_shear","bid_stress","canard_mass","canopy_rho","canopy_thk","CfgID","ConstraintsTest","core_minThk","core_rho","CostPerFlight","CruiseSpeed","ENominal","EReserve","fc","fuselage_mass","fuselageHeight","fuselageLength","glue_rho","glue_thk","GUID","hops","hops.1","loiterTime","loiterTime.1","MaxTakeoffMass","MotorMass","paint_rho","paint_thk","PartsPerTool","payload_mass","prop_mass","Range","rib_thk","rib_width","RotorRadius","steel_shear","tNominal","tReserve","uni_rho","uni_stress","Vehicle","winglet"
2800,3.5e+08,184.199707646,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,407.593601665,33.0026112313,80.414698172,163.16247935,0.4,500,1.65,5,1800,0.000254,"e3f7eb33-b5c2-44a0-b444-52112cc7b212",2,2,1020,1020,2653.02214146,332.059147818,1800,0.00015,1000,550,50,27816.6655148,0.0015,0.0254,7.55071961391,5e+08,1022.86256381,1225.87065521,1660,4.5e+08,0,0.2
2800,3.5e+08,247.804187227,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,191.859225592,30.4782412769,374.909724533,466.91936381,0.4,500,1.65,5,1800,0.000254,"742389f1-5102-42fd-8d30-92d5546c0294",2,2,1020,1020,5846.95171747,299.563828594,1800,0.00015,1000,550,50,110716.049807,0.0015,0.0254,0.795726683858,5e+08,3812.62593801,2533.06165683,1660,4.5e+08,1,0.2
2800,3.5e+08,752.124194912,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,279.174632681,35.5260140069,104.680760693,128.341875408,0.4,500,1.65,5,1800,0.000254,"8f5281cc-4bc9-49d1-869d-c7ab83411ab6",2,2,1020,1020,3294.19903164,30.4444063828,1800,0.00015,1000,550,50,198471.524312,0.0015,0.0254,3.22923654107,5e+08,5766.65332601,1540.34262065,1660,4.5e+08,1,0.2
2800,3.5e+08,980.835666987,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,236.981443024,35.1108839439,105.119869756,164.144373391,0.4,500,1.65,5,1800,0.000254,"7ac28acb-0579-4613-b477-a483ef74b0bf",2,2,1020,1020,3226.89560622,313.253917366,1800,0.00015,1000,550,50,78533.6252112,0.0015,0.0254,5.69466777284,5e+08,2416.73164528,1749.89168551,1660,4.5e+08,1,0.2
2800,3.5e+08,270.007003898,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,421.595612167,46.1515432809,58.6676725227,90.5279989719,0.4,500,1.65,5,1800,0.000254,"af618ea5-91b0-4805-8cbd-13df336a27b3",2,2,1020,1020,3303.06849764,991.661214305,1800,0.00015,1000,550,50,102396.177341,0.0015,0.0254,4.28363162586,5e+08,2398.69454544,246.555271193,1660,4.5e+08,0,0.2
2800,3.5e+08,848.335685932,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,208.267407853,64.2243259428,75.357293815,95.0636784852,0.4,500,1.65,5,1800,0.000254,"e0762d60-3d16-4c64-8570-801ed91af045",2,2,1020,1020,3047.90416183,790.806303312,1800,0.00015,1000,550,50,138948.051049,0.0015,0.0254,3.7037685451,5e+08,2343.48009901,282.499706309,1660,4.5e+08,1,0.2
2800,3.5e+08,140.718959393,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,855.83357325,48.7640887424,106.990920234,173.876451427,0.4,500,1.65,5,1800,0.000254,"59b32598-9472-4c48-b7c6-fc2b30501da6",2,2,1020,1020,3132.15270623,192.570837167,1800,0.00015,1000,550,50,128336.03091,0.0015,0.0254,6.70314764073,5e+08,2811.77338528,870.505992815,1660,4.5e+08,0,0.2
2800,3.5e+08,463.463656597,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,2325.06513084,37.0452946052,146.836848768,268.720942045,0.4,500,1.65,5,1800,0.000254,"748ab9e0-751a-47a3-a658-da17dbabb389",2,2,1020,1020,3912.91599416,718.268291093,1800,0.00015,1000,550,50,148511.200394,0.0015,0.0254,9.29000074238,5e+08,4188.90860705,2250.64389156,1660,4.5e+08,0,0.2
2800,3.5e+08,817.468792074,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",1,0.0064,52,1669.08103023,63.6156138992,239.261292462,361.903176936,0.4,500,1.65,5,1800,0.000254,"e875fd6e-9534-42b9-9fe4-46fd486fd7eb",2,2,1020,1020,9080.03489962,209.225486144,1800,0.00015,1000,550,50,174859.771999,0.0015,0.0254,9.25819448115,5e+08,2928.69267592,2255.46293327,1660,4.5e+08,0,0.2
2800,3.5e+08,314.437390698,4e+08,0.00042,1660,4.7e+07,2.75e+08,200,1180,0.003175,"TestWingMass",0,0.0064,52,107.674266525,76.6746157693,79.8739215791,139.570311471,0.4,500,1.65,5,1800,0.000254,"62327d05-34ce-4fd9-bd3a-b8568ddea2ac",2,2,1020,1020,4851.53050366,404.229960215,1800,0.00015,1000,550,50,52302.7651766,0.0015,0.0254,8.05076065401,5e+08,862.139253675,1501.81076962,1660,4.5e+08,1,0.2
