Range [km],DOC [$],DOC [$/km],RotorRadius [m],CruiseSpeed [m/s],BatteryMass [kg],MotorMass [kg],MaxTakeOffMass [kg]
10.0,30.431165594375031,3.0431165594375029,0.88905521318372527,45.5,122.72078321651753,35.872791286943169,537.40633767981865
20.0,37.703604033794072,1.8851802016897035,0.88461212898235819,45.5,151.19366256652643,39.204047760589269,578.30497666519045
30.0,45.427157589580041,1.5142385863193346,0.89606087519084032,45.5,180.30000618169211,42.46941968811516,620.62855423987435
40.0,53.653270165759686,1.3413317541439922,0.91627721446489874,45.5,210.08141365796087,45.682812853566858,664.18092289185415
50.0,62.423433267655739,1.2484686653531147,0.94223129577430553,45.5,240.56369136204933,48.863786324383646,708.93084087639511
60.0,71.77596159628358,1.1962660266047263,0.97206929037368017,45.5,271.81551165423866,52.043383796629037,754.96501087598915
70.0,81.748700179247663,1.1678385739892525,1.0047183549827887,45.5,303.90607764169499,55.248339937479358,802.39347958297424
80.0,92.380394796768016,1.1547549349596002,1.039714766419251,45.5,336.86277605795459,58.491498331956954,851.27790284071273
90.0,103.71151041829893,1.1523501157588769,1.076621253839668,45.5,370.74620649794184,61.791585100316439,901.73026202496339
100.0,115.78482422480046,1.1578482422480045,1.1151027091999628,45.5,405.63128345737147,65.167664969065569,953.88457992138797
110.0,128.64590023474554,1.1695081839522323,1.1555444611342873,45.5,441.42197046175033,68.602483396466766,1007.6472139014313
120.0,142.34357067899128,1.1861964223249275,1.1971867828887941,45.5,478.34477728889561,72.143795263024487,1063.3623762765578
130.0,156.93038283309212,1.2071567910237855,1.2400277134251212,45.5,516.45361201824176,75.800871487552854,1121.1426076566856
140.0,172.46313096741633,1.2318795069101167,1.2845439328789832,45.5,555.63979196588559,79.554870594940297,1180.8905645802229
150.0,189.00337810403173,1.2600225206935449,1.3302288779317588,45.5,596.13569537204035,83.447182398288717,1242.9642916392636
160.0,206.61812296869368,1.2913632685543355,1.3770340080783181,45.5,638.05004548360205,87.494413366511608,1307.5606996476683
170.0,225.38050885895402,1.3257676991703178,1.4256470401178871,45.5,681.1884770854482,91.666736334870166,1374.4907284308879
180.0,245.37068253672737,1.3631704585373743,1.4754537595982293,45.5,725.90692907946789,96.019792639720905,1444.285987108218
190.0,266.67677176295791,1.4035619566471469,1.5266637785153285,45.5,772.24109088556531,100.55843578454835,1517.0698374537344
200.0,289.39607386001626,1.4469803693000813,1.5791685029740319,45.5,820.39379805019576,105.31109688437806,1593.1887966637378
