Range [km],DOC [$],DOC [$/km],RotorRadius [m],CruiseSpeed [m/s],BatteryMass [kg],MotorMass [kg],MaxTakeOffMass [kg]
10.0,34.067354136619628,3.4067354136619628,1.021772821825081,46.240937061585036,144.83127345903233,47.140593589858931,706.72990814997002
20.0,42.504257417393752,2.1252128708696878,1.0120690201273219,45.748303355472117,175.69394304509575,50.829428515063888,750.97864541267461
30.0,51.428822444019815,1.7142940814673271,1.020001834839013,45.5,207.02602135302971,54.427899904643212,796.93526563272985
40.0,60.904136798233857,1.5226034199558462,1.0384058574489539,45.5,239.50998300953938,58.010922350053207,845.16345114863543
50.0,70.981312900539422,1.4196262580107886,1.0630815431989298,45.5,272.81025986716452,61.57411170667104,895.01003159557615
60.0,81.707314975722824,1.3617885829287137,1.0921973130473761,45.5,306.996206290244,65.147942860241528,946.54340257242916
70.0,93.129089864311283,1.3304155694901612,1.1247982024707812,45.5,342.11573506395104,68.754321574722809,999.848043889922
80.0,105.29544529323188,1.3161930661653984,1.1599855869968589,45.5,378.29168083235237,72.429321609714833,1055.1227565279635
90.0,118.25830924135924,1.3139812137928804,1.1972999368794217,45.5,415.62287268607633,76.198429455536299,1112.55049975982
100.0,132.07371762409963,1.3207371762409963,1.2371208540967957,45.5,454.02141725970125,80.046651077107768,1172.0937594927659
110.0,146.80279030694294,1.3345708209722087,1.2784508145572115,45.5,493.80001864944677,84.039739981765251,1234.221225559681
120.0,162.51272688290555,1.3542727240242129,1.3216814635880303,45.5,534.92090380602747,88.169979615373677,1298.979438564023
130.0,179.27794993643261,1.3790611533571739,1.366872459184445,45.5,577.44582809840472,92.450465219106519,1366.5521951599337
140.0,197.18148395016493,1.4084391710726067,1.4137621332720445,45.5,621.58004058075983,96.91815852726414,1437.3139458419705
150.0,216.31655931093346,1.4421103954062231,1.4622746724958242,45.5,667.50967766035092,101.60362746561057,1511.6325991380836
160.0,236.78869040758974,1.479929315047436,1.5127553086168772,45.5,715.27865907498767,106.51435529154115,1589.7275755714393
170.0,258.71820499763771,1.5218717941037512,1.565103835099338,45.5,765.15029628460638,111.69220762100048,1672.1109058873703
180.0,282.24356915362955,1.5680198286312752,1.6195296391408416,45.5,817.3002006632147,117.16502382688316,1759.2244279879712
190.0,307.52564956188439,1.6185560503257073,1.6759917337002754,45.5,872.08654606997482,122.98628151435659,1851.7707239396909
200.0,334.75343314812415,1.6737671657406208,1.7351138871974365,45.5,929.58476091377565,129.17214762817952,1950.1778860975626
