Range [km],DOC [$],DOC [$/km],RotorRadius [m],CruiseSpeed [m/s],BatteryMass [kg],MotorMass [kg],MaxTakeOffMass [kg]
10.0,34.166071552466157,3.416607155246616,1.0252175610927992,46.25148107795598,145.58503020380226,47.520665864270526,712.29472422577169
20.0,42.638881402636997,2.1319440701318499,1.0155961553998314,45.771635489641795,176.64464102909278,51.259271762167927,757.14619058640176
30.0,51.60681266709441,1.720227088903147,1.0239316042121238,45.5,208.0974326132561,54.89709526409105,803.67896110029574
40.0,61.133976530791678,1.5283494132697919,1.0428020620626632,45.5,240.76526899912852,58.528633148658102,852.6387051314872
50.0,71.273041063988373,1.4254608212797675,1.0680330549514463,45.5,274.26480977486307,62.142936774138029,903.29445593171761
60.0,82.072749570879367,1.367879159514656,1.0973368216292112,45.5,308.7519173648131,65.79215533688307,955.82398452134782
70.0,93.910306565180406,1.3415758080740057,1.196369908347116,45.5,332.37135059540128,66.845538510894016,997.11405178620362
80.0,109.90855408125806,1.3738569260157258,1.3976634990472792,45.5,351.00694225519544,68.329548932354015,1053.0208267655867
90.0,129.49195643013036,1.4387995158903373,1.5215502653352124,45.5,399.02816045716759,77.47837446115048,1197.084481371503
100.0,151.74902424330708,1.5174902424330707,1.6499229747316722,45.5,450.20604383246797,87.263242602113223,1350.6181314974042
110.0,177.02696220590991,1.6093360200537266,1.7834088048148939,45.5,504.68698987360301,97.733409647158538,1514.0609696208089
120.0,205.72306497978485,1.7143588748315404,1.922567810143704,45.5,562.64345673301284,108.94887684016334,1687.9303701990384
130.0,240.57295096039866,1.850561161233836,1.9999586061022729,45.49804092930961,669.70357940983706,129.86323366994841,2009.1135768997087
140.0,290.23555772199165,2.0731111265856548,2.0036477574167106,45.135224258328932,800.15237316305479,373.54672010117849,2389.5138472390322
150.0,285.26530748076215,1.9017687165384145,2.0088959323387483,44.610406766125195,759.78535527154816,144.79939224389273,2252.6682687984003
160.0,293.81021440068616,1.8363138400042887,2.0138055691935306,44.119443080646931,723.06397833554934,135.06539501171494,2127.7752274260556
170.0,302.8481673844172,1.7814598081436306,2.0184121692233932,43.658783077660708,689.83615056416795,127.8368795295969,2014.271944022325
180.0,311.81384314542078,1.732299128585671,2.0227467846752432,43.225321532475704,658.5655310249474,118.5601694401206,1907.4562390491135
190.0,321.26904693371375,1.6908897207037565,2.0268365115155067,42.816348848449337,630.32815930316895,111.56476095896332,1810.474943362987
200.0,331.28529016559889,1.6564264508279944,2.0307051557924956,42.429484420750441,604.64298099154587,107.85923654072106,1721.813475597151
